VDS,VBS,ID1,ID2
-5,0,-0.000016724,-0.0000168
-4.99,0,-0.000016748,-0.000016777
-4.98,0,-0.000016728,-0.000016808
-4.97,0,-0.000016715,-0.000016809
-4.96,0,-0.000016737,-0.000016777
-4.95,0,-0.000016738,-0.000016783
-4.94,0,-0.000016711,-0.000016824
-4.93,0,-0.000016724,-0.000016791
-4.92,0,-0.000016741,-0.000016771
-4.91,0,-0.000016715,-0.000016795
-4.9,0,-0.00001671,-0.000016802
-4.89,0,-0.000016734,-0.000016774
-4.88,0,-0.000016729,-0.000016782
-4.87,0,-0.000016705,-0.000016803
-4.86,0,-0.000016722,-0.000016777
-4.85,0,-0.000016737,-0.000016772
-4.84,0,-0.000016711,-0.000016795
-4.83,0,-0.00001671,-0.000016792
-4.82,0,-0.000016736,-0.000016762
-4.81,0,-0.000016722,-0.000016782
-4.8,0,-0.000016699,-0.000016798
-4.79,0,-0.000016727,-0.000016772
-4.78,0,-0.000016734,-0.000016769
-4.77,0,-0.000016703,-0.000016794
-4.76,0,-0.00001671,-0.000016785
-4.75,0,-0.000016732,-0.000016762
-4.74,0,-0.000016713,-0.000016788
-4.73,0,-0.000016699,-0.000016795
-4.72,0,-0.000016722,-0.000016765
-4.71,0,-0.000016722,-0.00001677
-4.7,0,-0.000016695,-0.000016798
-4.69,0,-0.00001671,-0.000016777
-4.68,0,-0.000016731,-0.000016761
-4.67,0,-0.000016699,-0.000016785
-4.66,0,-0.000016697,-0.000016789
-4.65,0,-0.000016722,-0.000016762
-4.64,0,-0.000016716,-0.00001677
-4.63,0,-0.000016694,-0.000016808
-4.62,0,-0.000016714,-0.000016766
-4.61,0,-0.000016726,-0.00001676
-4.6,0,-0.000016697,-0.000016782
-4.59,0,-0.000016699,-0.000016794
-4.58,0,-0.000016726,-0.00001675
-4.57,0,-0.000016709,-0.00001677
-4.56,0,-0.00001669,-0.000016787
-4.55,0,-0.000016714,-0.000016761
-4.54,0,-0.000016722,-0.000016759
-4.53,0,-0.000016692,-0.000016782
-4.52,0,-0.000016701,-0.000016773
-4.51,0,-0.000016722,-0.00001675
-4.5,0,-0.000016698,-0.000016801
-4.49,0,-0.000016687,-0.000016782
-4.48,0,-0.000016711,-0.000016753
-4.47,0,-0.000016713,-0.000016757
-4.46,0,-0.000016679,-0.000016784
-4.45,0,-0.0000167,-0.000016765
-4.44,0,-0.000016717,-0.000016751
-4.43,0,-0.000016692,-0.000016774
-4.42,0,-0.000016685,-0.000016777
