VGS,VBS,ID1(170802???),ID2(170802 ???)
-5,0,-0.000086138,-0.000086156
-4.99,0,-0.000085999,-0.000086063
-4.98,0,-0.000085873,-0.000085895
-4.97,0,-0.000085718,-0.00008583
-4.96,0,-0.000085604,-0.000085718
-4.95,0,-0.000085511,-0.00008556
-4.94,0,-0.000085357,-0.000085425
-4.93,0,-0.000085228,-0.000085276
-4.92,0,-0.00008511,-0.000085198
-4.91,0,-0.00008501,-0.000085016
-4.9,0,-0.000084873,-0.000084915
-4.89,0,-0.000084809,-0.000084781
-4.88,0,-0.000084651,-0.000084699
-4.87,0,-0.000084506,-0.000084534
-4.86,0,-0.000084342,-0.00008444
-4.85,0,-0.000084224,-0.000084312
-4.84,0,-0.000084112,-0.000084148
-4.83,0,-0.000084003,-0.000084025
-4.82,0,-0.000083869,-0.000083892
-4.81,0,-0.000083736,-0.000083786
-4.8,0,-0.000083607,-0.000083619
-4.79,0,-0.000083437,-0.000083577
-4.78,0,-0.000083393,-0.000083401
-4.77,0,-0.000083226,-0.000083289
-4.76,0,-0.000083105,-0.000083103
-4.75,0,-0.000082937,-0.000082993
-4.74,0,-0.000082816,-0.000082898
-4.73,0,-0.000082733,-0.000082739
-4.72,0,-0.000082524,-0.000082615
-4.71,0,-0.000082462,-0.000082486
-4.7,0,-0.000082303,-0.000082383
-4.69,0,-0.000082157,-0.000082191
-4.68,0,-0.00008204,-0.000082128
-4.67,0,-0.000081896,-0.000081949
-4.66,0,-0.000081797,-0.000081803
-4.65,0,-0.000081631,-0.000081668
-4.64,0,-0.000081514,-0.000081531
-4.63,0,-0.000081371,-0.000081449
-4.62,0,-0.000081258,-0.000081265
-4.61,0,-0.000081095,-0.000081189
-4.6,0,-0.000081024,-0.000081016
-4.59,0,-0.000080834,-0.000080914
-4.58,0,-0.000080708,-0.000080767
-4.57,0,-0.000080562,-0.000080625
-4.56,0,-0.000080433,-0.000080491
-4.55,0,-0.000080308,-0.000080335
-4.54,0,-0.000080113,-0.000080192
-4.53,0,-0.000080059,-0.00008007
-4.52,0,-0.000079865,-0.000079968
-4.51,0,-0.000079766,-0.000079761
-4.5,0,-0.000079622,-0.000079669
-4.49,0,-0.000079502,-0.000079576
-4.48,0,-0.000079359,-0.000079411
-4.47,0,-0.000079184,-0.000079252
-4.46,0,-0.000079069,-0.000079091
-4.45,0,-0.000078898,-0.00007897
-4.44,0,-0.000078801,-0.000078816
-4.43,0,-0.00007867,-0.000078711
-4.42,0,-0.000078544,-0.000078549
-4.41,0,-0.000078371,-0.000078418
-4.4,0,-0.000078209,-0.00007826
-4.39,0,-0.000078079,-0.000078136
-4.38,0,-0.000077939,-0.000077983
-4.37,0,-0.000077805,-0.000077847
-4.36,0,-0.00007768,-0.00007772
-4.35,0,-0.000077545,-0.000077591
-4.34,0,-0.000077399,-0.000077442
-4.33,0,-0.000077262,-0.000077299
-4.32,0,-0.00007708,-0.000077143
-4.31,0,-0.000076933,-0.000077009
-4.3,0,-0.000076825,-0.000076839
-4.29,0,-0.000076636,-0.000076718
-4.28,0,-0.000076524,-0.000076578
-4.27,0,-0.000076355,-0.000076421
-4.26,0,-0.000076232,-0.000076241
-4.25,0,-0.000076063,-0.000076133
-4.24,0,-0.000075925,-0.000076015
-4.23,0,-0.000075831,-0.000075806
-4.22,0,-0.000075622,-0.000075712
-4.21,0,-0.000075492,-0.000075552
-4.2,0,-0.000075347,-0.000075409
-4.19,0,-0.000075218,-0.00007524
-4.18,0,-0.000075007,-0.000075116
-4.17,0,-0.000074959,-0.00007497
-4.16,0,-0.000074771,-0.000074818
-4.15,0,-0.000074619,-0.000074649
-4.14,0,-0.000074473,-0.000074517
-4.13,0,-0.000074307,-0.000074391
-4.12,0,-0.000074186,-0.000074178
-4.11,0,-0.000073986,-0.000074093
-4.1,0,-0.000073882,-0.000073909
-4.09,0,-0.00007374,-0.000073752
-4.08,0,-0.000073551,-0.000073599
-4.07,0,-0.000073395,-0.000073463
-4.06,0,-0.000073246,-0.000073336
-4.05,0,-0.000073108,-0.000073157
-4.04,0,-0.000072935,-0.000073029
-4.03,0,-0.000072816,-0.000072851
-4.02,0,-0.000072655,-0.000072701
-4.01,0,-0.00007247,-0.000072515
-4,0,-0.000072319,-0.000072384
-3.99,0,-0.000072172,-0.00007223
-3.98,0,-0.000072039,-0.000072049
-3.97,0,-0.000071859,-0.000071926
-3.96,0,-0.000071727,-0.000071749
-3.95,0,-0.000071556,-0.000071629
-3.94,0,-0.000071402,-0.00007142
-3.93,0,-0.000071239,-0.000071281
-3.92,0,-0.000071104,-0.000071146
-3.91,0,-0.000070919,-0.000070935
-3.9,0,-0.00007077,-0.000070797
-3.89,0,-0.000070629,-0.000070679
-3.88,0,-0.000070423,-0.000070515
-3.87,0,-0.000070282,-0.000070312
-3.86,0,-0.000070121,-0.000070166
-3.85,0,-0.000069951,-0.000070025
-3.84,0,-0.000069837,-0.000069833
-3.83,0,-0.000069626,-0.000069704
-3.82,0,-0.000069544,-0.000069553
-3.81,0,-0.000069323,-0.000069354
-3.8,0,-0.000069164,-0.000069195
-3.79,0,-0.000068982,-0.000069012
-3.78,0,-0.000068828,-0.000068893
-3.77,0,-0.000068671,-0.000068736
-3.76,0,-0.000068479,-0.000068583
-3.75,0,-0.000068358,-0.000068392
-3.74,0,-0.000068182,-0.000068228
-3.73,0,-0.000068047,-0.00006804
-3.72,0,-0.000067845,-0.000067908
-3.71,0,-0.000067684,-0.00006773
-3.7,0,-0.000067531,-0.000067528
-3.69,0,-0.000067328,-0.000067393
-3.68,0,-0.000067216,-0.000067247
-3.67,0,-0.000067021,-0.000067071
-3.66,0,-0.000066846,-0.000066886
-3.65,0,-0.000066656,-0.000066742
-3.64,0,-0.000066481,-0.000066575
-3.63,0,-0.000066344,-0.000066373
-3.62,0,-0.000066171,-0.000066214
-3.61,0,-0.000066002,-0.00006603
-3.6,0,-0.000065817,-0.000065876
-3.59,0,-0.00006569,-0.00006567
-3.58,0,-0.000065491,-0.00006554
-3.57,0,-0.000065337,-0.000065387
-3.56,0,-0.000065175,-0.00006519
-3.55,0,-0.00006496,-0.000065012
-3.54,0,-0.000064813,-0.000064833
-3.53,0,-0.000064609,-0.000064688
-3.52,0,-0.000064478,-0.000064496
-3.51,0,-0.000064297,-0.000064353
-3.5,0,-0.000064124,-0.000064173
-3.49,0,-0.000063926,-0.00006398
-3.48,0,-0.000063757,-0.000063796
-3.47,0,-0.000063578,-0.000063615
-3.46,0,-0.000063396,-0.000063473
-3.45,0,-0.000063231,-0.000063254
-3.44,0,-0.000063034,-0.000063133
-3.43,0,-0.000062879,-0.000062919
-3.42,0,-0.000062702,-0.000062752
-3.41,0,-0.000062527,-0.00006255
-3.4,0,-0.000062322,-0.000062353
-3.39,0,-0.000062154,-0.000062188
-3.38,0,-0.000062003,-0.000062006
-3.37,0,-0.000061786,-0.000061838
-3.36,0,-0.000061642,-0.000061661
-3.35,0,-0.000061439,-0.000061484
-3.34,0,-0.000061255,-0.000061263
-3.33,0,-0.000061067,-0.000061098
-3.32,0,-0.000060875,-0.000060974
-3.31,0,-0.000060719,-0.000060725
-3.3,0,-0.00006049,-0.000060548
-3.29,0,-0.000060343,-0.000060364
-3.28,0,-0.000060156,-0.000060193
-3.27,0,-0.000059983,-0.000059972
-3.26,0,-0.000059779,-0.000059823
-3.25,0,-0.000059592,-0.000059631
-3.24,0,-0.000059425,-0.000059419
-3.23,0,-0.000059212,-0.000059236
-3.22,0,-0.000059016,-0.000059064
-3.21,0,-0.000058811,-0.000058872
-3.2,0,-0.000058657,-0.000058668
-3.19,0,-0.000058435,-0.000058521
-3.18,0,-0.000058276,-0.000058306
-3.17,0,-0.000058096,-0.000058124
-3.16,0,-0.000057875,-0.00005791
-3.15,0,-0.000057685,-0.000057731
-3.14,0,-0.000057471,-0.000057541
-3.13,0,-0.0000573,-0.000057324
-3.12,0,-0.000057086,-0.000057147
-3.11,0,-0.000056944,-0.000056946
-3.1,0,-0.000056732,-0.00005676
-3.09,0,-0.000056527,-0.00005655
-3.08,0,-0.000056314,-0.000056351
-3.07,0,-0.000056097,-0.000056176
-3.06,0,-0.000055945,-0.000055957
-3.05,0,-0.000055725,-0.000055787
-3.04,0,-0.000055541,-0.00005557
-3.03,0,-0.000055333,-0.000055363
-3.02,0,-0.000055126,-0.000055174
-3.01,0,-0.000054934,-0.000054961
-3,0,-0.000054734,-0.000054788
-2.99,0,-0.000054532,-0.000054543
-2.98,0,-0.000054306,-0.000054352
-2.97,0,-0.000054141,-0.00005416
-2.96,0,-0.000053938,-0.000053976
-2.95,0,-0.000053735,-0.000053746
-2.94,0,-0.000053508,-0.000053566
-2.93,0,-0.000053318,-0.000053357
-2.92,0,-0.000053123,-0.000053155
-2.91,0,-0.00005289,-0.000052931
-2.9,0,-0.0000527,-0.000052726
-2.89,0,-0.000052455,-0.00005252
-2.88,0,-0.000052291,-0.00005229
-2.87,0,-0.000052066,-0.000052121
-2.86,0,-0.00005189,-0.000051911
-2.85,0,-0.000051657,-0.000051701
-2.84,0,-0.000051449,-0.000051455
-2.83,0,-0.000051214,-0.000051253
-2.82,0,-0.000051021,-0.000051072
-2.81,0,-0.000050823,-0.000050821
-2.8,0,-0.000050594,-0.000050644
-2.79,0,-0.000050382,-0.000050423
-2.78,0,-0.000050166,-0.000050207
-2.77,0,-0.000049951,-0.000049972
-2.76,0,-0.000049718,-0.000049758
-2.75,0,-0.000049518,-0.000049579
-2.74,0,-0.000049311,-0.000049294
-2.73,0,-0.000049075,-0.000049107
-2.72,0,-0.000048884,-0.000048896
